Genbank.ClusterNum	PKS_KS	PKS_KR	PKS_DH	PKS_ER
ACJE01000010.8	0	0	0	0
ACJE01000015.1	0	0	0	0
ACJE01000015.10	0	0	0	0
ACJE01000015.11	0	0	0	0
ACJE01000015.12	1	1	1	2
ACJE01000015.2	1	0	1	1
ACJE01000015.3	0	0	0	0
ACJE01000015.4	0	0	0	0
ACJE01000015.5	0	0	0	0
ACJE01000015.6	0	0	0	1
ACJE01000015.7	0	0	0	0
ACJE01000015.8	1	2	1	2
ACJE01000015.9	1	0	1	0
ACJE01000018.1	1	0	0	0
ACJE01000018.2	1	3	1	2
ACJE01000018.3	0	0	0	0
ACJE01000019.1	0	1	0	0
ACJE01000019.10	1	1	1	0
ACJE01000019.2	1	1	1	1
ACJE01000019.3	0	0	0	0
ACJE01000019.4	1	1	1	2
ACJE01000019.5	1	1	1	1
ACJE01000019.6	1	1	1	2
ACJE01000019.7	1	1	1	1
ACJE01000019.8	0	0	0	0
ACJE01000019.9	1	1	1	1
ACJE01000020.1	1	1	1	1
ACJE01000020.2	1	1	0	1
ACJE01000021.1	0	0	0	0
ACJE01000021.2	1	1	1	1
ACJE01000021.3	0	0	0	0
ACJE01000021.4	0	0	0	0
ACJE01000021.5	0	0	0	0
ACJE01000021.6	0	0	0	0
ACJE01000021.7	0	0	0	0
ACJE01000021.8	0	0	0	0
ACKM01001433.1	5	3	0	0
ACPI01000107.1	1	1	1	1
ACPI01000170.1	1	0	0	0
ACPI01000182.1	1	0	1	0
ACPI01000487.1	2	0	0	0
ACPI01000638.1	1	1	1	1
ACXZ01002396.1	1	0	0	0
ACYC01000607.1	2	1	0	0
ACYC01001291.1	1	0	0	0
AD000014.1	1	1	0	0
ADBJ01000054.1	1	1	1	1
ADBJ01000054.2	0	0	0	0
ADFL02000034.1	0	0	0	0
ADFL02000092.1	0	0	0	0
ADFL02000122.1	0	0	0	0
ADFL02000157.1	2	1	2	1
ADFL02000157.2	0	0	0	0
ADFL02000265.1	0	0	1	1
ADFL02000305.1	0	0	0	0
ADJS01008787.1	0	0	0	0
ADJS01008787.2	0	0	0	0
ADJS01008787.3	0	0	0	0
ADJS01012473.1	2	1	0	0
ADMH02001861.1	1	1	1	1
ADMH02002134.1	1	0	1	1
ADND02000280.1	1	0	0	0
ADND02044234.1	0	0	0	0
ADND02087759.1	1	1	1	1
ADND02106111.1	2	0	0	0
ADNI01000361.1	0	0	0	0
ADNK01002829.1	1	1	0	0
ADXA01000025.1	1	0	0	0
AE000516.1	0	0	0	0
AE000516.10	0	0	0	0
AE000516.11	1	1	0	0
AE000516.12	0	0	0	0
AE000516.13	0	0	0	0
AE000516.14	7	6	5	3
AE000516.15	0	0	0	0
AE000516.16	1	1	0	0
AE000516.17	1	1	1	1
AE000516.2	1	0	0	0
AE000516.3	0	0	0	0
AE000516.4	0	0	0	0
AE000516.5	1	1	1	1
AE000516.6	0	0	0	0
AE000516.7	3	2	2	2
AE000516.8	2	2	2	2
AE000516.9	0	0	0	0
AE003852.1	0	0	0	0
AE003852.2	0	0	0	0
AE003852.3	0	0	0	0
AE005174.1	0	1	0	1
AE005174.2	0	0	0	0
AE005174.3	0	0	0	0
AE005174.4	0	0	0	0
AE005174.5	0	0	0	0
AE005174.6	0	0	0	0
AE005174.7	0	0	0	0
AE005174.8	0	0	0	0
AE007870.1	0	0	0	0
AE007870.2	2	3	0	0
AE007870.3	0	0	0	0
AE007870.4	0	0	0	0
AE008922.1	0	0	0	0
AE008922.2	0	0	0	0
AE008922.3	0	0	0	0
AE008922.4	0	0	0	0
AE008922.5	0	0	0	0
AE008922.6	0	1	0	0
AE008922.7	0	0	0	0
AE014075.1	0	1	0	0
AE014075.10	0	0	0	0
AE014075.2	0	0	0	0
AE014075.3	0	0	0	0
AE014075.4	0	0	0	0
AE014075.5	0	0	0	0
AE014075.6	1	1	0	0
AE014075.7	5	1	1	1
AE014075.8	0	0	0	0
AE014075.9	0	0	0	0
AE014133.1	0	0	0	0
AE014133.2	0	0	0	0
AE014133.3	0	0	0	0
AE014133.4	1	1	0	0
AE014133.5	0	0	0	0
AE014133.6	0	0	0	0
AE014134.1	4	4	4	7
AE014296.1	1	1	1	1
AE015451.1	0	0	0	0
AE015451.10	0	0	0	0
AE015451.2	0	0	0	0
AE015451.3	0	0	0	0
AE015451.4	0	0	0	0
AE015451.5	0	0	0	0
AE015451.6	0	0	0	0
AE015451.7	0	0	0	0
AE015451.8	0	0	0	0
AE015451.9	0	0	0	0
AE016825.1	0	0	0	0
AE016825.10	0	0	0	0
AE016825.11	0	0	0	0
AE016825.12	0	0	0	0
AE016825.13	0	0	0	0
AE016825.2	0	0	0	0
AE016825.3	0	0	0	0
AE016825.4	0	0	0	0
AE016825.5	0	0	0	0
AE016825.6	0	0	0	0
AE016825.7	1	0	0	0
AE016825.8	0	0	0	0
AE016825.9	0	0	0	0
AE016853.1	0	0	0	0
AE016853.10	0	0	0	0
AE016853.11	3	2	2	2
AE016853.12	0	0	0	0
AE016853.13	0	0	0	0
AE016853.2	0	0	0	0
AE016853.3	0	0	0	0
AE016853.4	0	0	0	0
AE016853.5	1	1	0	0
AE016853.6	0	0	0	0
AE016853.7	0	0	0	0
AE016853.8	0	0	0	0
AE016853.9	0	0	0	0
AE017282.1	0	0	0	0
AE017282.2	0	0	0	0
AE017282.3	0	0	0	0
AE017282.4	1	1	1	0
AE017282.5	0	0	0	0
AE017282.6	0	0	0	0
AE017282.7	0	0	0	0
AE017282.8	0	0	0	0
AE017282.9	0	0	0	0
AE017333.1	0	0	0	0
AE017333.10	0	0	0	0
AE017333.11	0	1	0	0
AE017333.12	0	0	0	0
AE017333.2	0	0	0	0
AE017333.3	0	0	0	0
AE017333.4	0	0	0	0
AE017333.5	0	0	0	0
AE017333.6	0	0	0	0
AE017333.7	0	0	0	0
AE017333.8	0	0	0	0
AE017333.9	0	0	0	0
AEAI01000264.1	3	1	1	0
AEOV01000318.1	3	1	0	1
AEQT01000897.1	0	0	0	0
AEQT01000897.2	0	1	0	2
AEUI02000265.1	1	1	1	1
AEUM01001269.1	0	1	1	1
AEUM01002982.1	2	1	1	1
AEUM01003773.1	1	1	0	0
AEUM01004770.1	1	1	1	1
AEYB01000446.1	1	0	0	1
AEYB01000516.1	1	0	0	2
AEYB01000524.1	2	1	1	3
AEYB01000968.1	2	1	1	1
AEYB01001170.1	2	0	1	1
AEYB01001622.1	0	0	0	0
AEYQ01000349.1	2	3	1	2
AF007101.1	4	4	4	1
AF016585.1	8	7	3	1
AF040570.1	10	9	8	0
AF079138.1	7	5	2	1
AF082100.1	4	3	4	1
AF082993.1	3	3	0	3
AF098795.1	2	2	2	1
AF130309.1	1	0	0	0
AF141925.1	1	1	1	2
AF151533.1	1	0	0	0
AF155773.1	1	1	1	2
AF183408.1	4	3	2	0
AF184956.1	1	0	0	0
AF202898.1	1	0	0	0
AF204805.1	1	0	0	1
AF210249.1	1	1	0	0
AF210843.1	9	8	5	4
AF217189.1	9	8	5	4
AF235504.1	10	8	9	4
AF262754.1	2	0	0	0
AF263245.1	6	6	1	1
AF263912.1	19	18	10	2
AF275943.1	2	1	1	0
AF285607.1	1	1	1	1
AF318063.1	11	8	4	1
AF318063.2	0	0	0	0
AF319998.1	7	7	6	1
AF324838.1	8	7	2	1
AF333038.1	1	0	1	0
AF357202.1	19	18	11	2
AF360398.1	1	1	1	0
AF395534.1	1	0	0	0
AF395828.1	2	1	1	0
AF405554.1	7	4	0	4
AF411576.1	1	0	0	0
AF440781.1	14	12	9	4
AF453501.1	7	7	5	2
AF469045.1	0	0	0	0
AF484556.1	7	5	3	0
AF497482.1	2	1	1	0
AF499447.1	1	1	0	0
AF506522.1	3	4	3	1
AF516145.1	1	0	0	0
AF520841.1	0	1	1	0
AF521085.1	15	13	10	5
AF545580.1	1	1	0	0
AF546142.1	1	1	0	0
AF546144.1	1	1	0	0
AF546146.1	1	1	1	0
AF546148.1	1	1	0	0
AF546151.1	1	1	0	0
AF546152.1	1	1	0	0
AF546153.1	1	1	0	0
AF546155.1	1	1	0	0
AFEY01016825.1	1	1	0	0
AFFF02007016.1	1	1	1	2
AFFH02006092.1	1	2	2	2
AFFH02007059.1	1	2	0	2
AFFI02007631.1	1	2	1	2
AFFX01000001.1	0	1	0	0
AFFX01000001.2	0	0	0	0
AFIA01000017.1	2	1	0	0
AFIO01000106.1	2	1	1	1
AFIO01000882.1	3	1	1	1
AFIO01000882.2	1	2	0	0
AFIP01000713.1	3	2	1	1
AFIQ01000070.1	1	0	1	0
AFIR01000166.1	0	0	0	0
AFIR01000166.2	1	0	1	0
AFIR01000614.1	1	1	1	3
AFIS01000538.1	2	1	1	1
AFIU01000464.1	1	0	1	0
AFIX01000372.1	0	0	0	0
AFIX01000372.2	0	0	0	0
AFIY01000193.1	1	1	0	0
AFIY01000376.1	1	0	0	0
AFIY01000377.1	2	1	1	1
AFIY01000575.1	1	1	1	1
AFIY01001273.1	3	1	1	1
AFPP02032144.1	1	2	1	2
AFQF01001029.1	1	1	1	1
AFQZ01000194.1	3	1	1	1
AFQZ01000194.2	0	0	0	0
AFQZ01000274.1	1	0	1	1
AFQZ01000669.1	2	0	0	0
AFRA01000057.1	1	0	1	0
AFRA01000291.1	2	0	0	0
AFRA01000452.1	2	0	1	1
AFRB01000029.1	0	0	0	0
AFRB01000081.1	3	1	2	1
AFRB01000089.1	2	1	1	0
AFRB01000190.1	1	0	1	0
AFRB01000871.1	1	0	1	1
AFRC01000063.1	2	0	1	2
AFRC01000197.1	1	0	0	0
AFRC01000346.1	2	2	1	1
AFRC01000406.1	2	1	1	0
AFRC01000508.1	2	0	0	0
AFRD01000030.1	1	2	0	1
AFRD01000071.1	3	0	0	0
AFRD01000082.1	0	1	0	0
AFRD01000082.2	2	1	0	0
AFRD01000108.1	1	0	0	0
AFRD01000222.1	1	0	0	1
AFRD01000305.1	2	0	0	0
AFRD01000428.1	1	1	1	0
AFRE01000017.1	0	0	0	0
AFRE01000041.1	1	0	1	0
AFRE01000113.1	0	1	1	1
AFRE01000162.1	0	0	1	0
AFRE01000271.1	2	1	1	1
AFRE01000293.1	0	1	1	1
AFRE01000300.1	2	1	1	1
AFRE01000368.1	2	1	1	1
AFRF01000004.1	0	0	1	1
AFRF01000177.1	2	0	0	0
AFRF01000234.1	0	1	1	1
AFRG01000042.1	4	1	2	1
AFRG01000184.1	0	0	1	1
AFRG01000271.1	2	1	1	0
AFRG01000628.1	1	1	1	1
AFRX01000449.1	0	0	0	0
AFRX01000670.1	1	0	1	0
AFRX01000703.1	0	1	1	1
AFSE01000013.1	0	2	1	1
AFSE01000158.1	0	1	1	1
AFSE01000489.1	1	0	1	0
AFSE01000543.1	2	0	0	0
AFWC01000158.1	0	0	0	0
AFXM01000373.1	0	1	1	0
AFXM01000373.2	1	0	1	1
AGBI01000847.1	2	1	1	1
AGBW01000124.1	1	1	0	1
AGCC01002206.1	1	1	1	1
AGCC01002257.1	1	0	0	0
AGCC01002283.1	1	0	0	0
AGCC01002547.1	0	0	0	0
AGCP01013920.1	0	0	0	0
AGDD01000061.1	1	0	0	0
AGDD01000227.1	1	0	1	0
AGDF01000033.1	2	1	0	0
AGDF01000360.1	1	1	0	0
AGDF01000552.1	1	0	0	0
AGDF01000573.1	5	2	2	0
AGDF01000594.1	2	1	0	0
AGGA01000165.1	1	0	0	0
AGNC01000282.1	1	1	1	0
AGNC01000292.1	0	0	0	0
AGNC01000292.2	0	0	0	0
AGND01000180.1	0	0	0	0
AGND01000228.1	2	1	1	0
AGND01000289.1	1	1	1	1
AGND01000334.1	2	1	1	3
AGND01000334.2	0	0	0	0
AGNF01000757.1	1	1	1	0
AGNG01000163.1	1	1	1	1
AGNG01000202.1	0	0	0	0
AGNG01000202.2	0	0	0	0
AGNG01000315.1	0	1	1	0
AGNG01000982.1	2	1	1	1
AGRF01000002.1	1	1	0	0
AGRF01000002.2	0	0	0	0
AGSF01000159.1	0	0	0	0
AGTN01363886.1	1	0	1	0
AHGX01000564.1	1	0	0	0
AHHD01000101.1	1	1	1	0
AHHD01000109.1	2	2	1	1
AHHD01000117.1	0	0	1	0
AHHD01000167.1	1	3	1	0
AHHD01000177.1	1	0	1	0
AHHD01000207.1	1	0	0	0
AHHD01000275.1	2	2	1	1
AHHD01000293.1	1	1	1	1
AHHD01000323.1	1	1	1	1
AHHD01000323.2	1	0	1	0
AHHD01000324.1	2	2	2	2
AHHD01000387.1	0	0	0	1
AHHD01000387.2	1	2	0	0
AHHD01000405.1	1	0	1	0
AHHD01000421.1	1	0	1	1
AHHD01000442.1	1	1	1	1
AHHD01000449.1	8	7	4	3
AHHD01000467.1	1	1	1	1
AHHD01000467.2	0	0	0	0
AHHD01000469.1	3	1	2	2
AHHD01000483.1	1	1	0	0
AHHD01000512.1	1	0	0	0
AHHD01000518.1	3	1	1	1
AHHD01000518.2	1	0	0	0
AHHD01000573.1	1	1	1	1
AHHD01000612.1	1	0	0	0
AHHD01000621.1	1	1	1	1
AHIW01000695.1	1	0	1	0
AHYY01000002.1	0	0	0	0
AHYY01000002.2	0	1	0	0
AHYY01000002.3	0	0	0	0
AHZS01000447.1	0	0	1	0
AHZT01001401.1	2	0	1	0
AHZT01001691.1	2	0	0	0
AIDU01000303.1	1	1	1	2
AIDU01000480.1	1	1	1	1
AIDU01000586.1	1	1	1	1
AIDU01001082.1	1	0	0	0
AIDU01001275.1	2	1	1	1
AIDU01001284.1	0	1	1	1
AIDU01002029.1	0	0	1	0
AIDY01000037.1	2	0	1	1
AIEJ01000001.1	1	0	0	0
AIET01000062.1	1	0	0	0
AIET01000188.1	5	2	1	1
AIET01000484.1	0	0	0	0
AIET01000484.2	0	0	0	0
AIET01000484.3	1	0	0	0
AIET01000646.1	1	0	1	0
AIET01000705.1	2	1	1	1
AIET01000705.2	0	0	0	0
AIET01001264.1	0	0	0	0
AIET01001264.2	0	1	1	0
AIET01001264.3	0	0	0	0
AIET01001264.4	0	0	0	0
AIET01001356.1	1	1	0	0
AIET01001465.1	2	0	0	0
AIET01001484.1	0	0	0	0
AIET01001484.2	0	0	0	0
AIET01001484.3	3	0	0	0
AIET01001530.1	3	2	0	1
AIET01001714.1	2	1	1	0
AIIA02000388.1	1	1	0	0
AIIA02000389.1	0	0	0	0
AIIA02000389.2	1	1	1	2
AIIA02000427.1	1	0	0	0
AIIA02000594.1	2	1	1	1
AIIC01000001.1	2	1	1	1
AIIC01000004.1	1	0	1	0
AIIC01000004.2	0	0	0	0
AIIC01000006.1	0	0	0	0
AIIC01000008.1	1	1	1	1
AIIC01000058.1	2	3	1	1
AIIC01000064.1	1	1	1	1
AIIC01000067.1	0	0	0	0
AIIC01000067.2	3	1	1	1
AIIC01000072.1	2	1	1	1
AIIC01000084.1	1	0	0	0
AIIC01000132.1	1	1	1	0
AIID01011158.1	0	0	1	0
AJ278141.1	1	0	1	0
AJ278573.1	13	12	5	0
AJ315370.1	1	0	0	0
AJ414729.1	1	0	0	0
AJ421825.1	9	7	4	1
AJ441056.1	4	3	2	0
AJ557546.1	4	2	1	0
AJ575648.1	4	2	2	1
AJ580915.1	6	7	3	2
AJ586576.1	2	1	1	0
AJ620477.1	2	3	2	2
AJ634060.1	14	9	7	0
AJ639922.1	1	0	0	0
AJ871581.1	6	6	4	1
AJFK01000026.1	0	0	0	0
AJFK01000026.2	0	0	0	0
AJFK01000267.1	3	1	1	1
AJFK01000411.1	1	0	1	1
AJFK01000424.1	1	1	1	0
AJFK01000460.1	1	0	0	0
AJFK01000478.1	1	0	0	0
AJFK01000512.1	1	0	0	0
AJFK01000654.1	0	1	1	1
AJFK01000749.1	1	0	1	0
AJFK01000840.1	1	0	0	0
AJFK01001051.1	2	0	0	1
AJFK01001088.1	1	1	1	0
AJFL01000024.1	2	1	1	1
AJFL01000102.1	1	1	1	0
AJFL01000421.1	1	0	1	1
AJFL01000435.1	2	1	1	1
AJFL01000546.1	1	0	0	0
AJFL01000550.1	2	0	0	0
AJFL01000558.1	1	0	0	0
AJFL01000768.1	1	0	0	0
AJFL01000832.1	1	1	1	0
AJFL01001044.1	1	1	1	0
AJFL01001173.1	1	1	1	1
AJFL01001391.1	1	0	0	0
AJFL01001503.1	1	1	1	0
AJFL01002949.1	1	1	1	1
AJFL01003176.1	1	0	0	0
AJFL01003782.1	1	1	1	1
AJMP01000026.1	1	1	0	0
AJMS01009864.1	0	1	1	1
AJMS01009949.1	2	1	1	0
AJMS01010111.1	0	1	1	1
AJMS01010202.1	1	1	1	1
AJWG01000663.1	2	1	0	1
AJWG01001553.1	2	1	0	1
AJWG01001557.1	2	1	0	1
AJWG01002583.1	1	0	0	1
AJWG01002622.1	2	1	0	1
AJWG01002739.1	2	1	1	1
AJWG01003998.1	1	1	0	0
AJWG01004580.1	1	1	1	1
AJWG01005137.1	0	1	0	1
AJWH01001814.1	0	1	0	1
AJWH01001827.1	0	0	1	1
AJWH01004792.1	1	1	0	1
AJWH01005030.1	2	1	0	1
AJWH01006076.1	1	1	1	1
AJWH01006626.1	1	0	0	0
AJWH01006704.1	0	1	0	1
AJWI01003516.1	0	1	0	1
AJWI01004210.1	1	1	1	1
AJWI01004309.1	2	1	0	1
AJWI01004519.1	1	1	0	1
AJWI01004551.1	2	1	1	1
AJWI01004748.1	1	1	0	1
AJWI01004805.1	2	1	0	1
AJWI01004815.1	1	1	0	1
AJWI01004823.1	0	0	0	1
AJWI01004848.1	1	1	1	1
AJWI01005252.1	1	1	0	1
AJWI01006018.1	1	0	1	0
AJWJ01000054.1	2	1	1	1
AJWJ01000092.1	1	1	0	1
AJWJ01000162.1	1	1	1	1
AJWJ01000208.1	1	1	1	1
AJWJ01000258.1	1	0	0	0
AJWK01004887.1	2	1	1	1
AJWK01017168.1	2	1	0	0
AJWK01021182.1	1	1	1	1
AJXC01001278.1	1	0	0	0
AKHY01000066.1	1	1	1	1
AKHY01000066.2	1	1	2	1
AKHY01000175.1	0	0	0	0
AKHY01000175.2	0	0	0	0
AKHY01000175.3	2	2	1	1
AKHY01000175.4	0	0	0	0
AKHY01000175.5	0	0	0	0
AKHY01000175.6	0	0	0	0
AKHY01000194.1	1	1	1	1
AKHY01000194.2	1	0	0	0
AKHY01000194.3	0	0	0	0
AKHY01000199.1	0	1	0	0
AKHY01000199.2	1	1	1	1
AKHY01000199.3	0	0	0	0
AKHY01000202.1	0	0	0	0
AKHY01000202.2	1	1	1	1
AKHY01000202.3	1	0	0	0
AKKO01031616.1	2	0	0	0
AKXL01000102.1	1	1	1	1
AKYS01000096.1	1	1	1	1
AKYS01000309.1	5	4	4	3
AKYS01000310.1	1	1	0	0
AKYS01000443.1	1	0	0	0
AKZP01000236.1	1	1	1	1
AKZP01000239.1	1	1	1	1
AKZP01000246.1	1	0	1	1
AKZP01055053.1	1	1	1	1
AKZP01076018.1	1	1	1	1
AL009126.1	0	0	0	0
AL009126.10	0	0	0	0
AL009126.11	0	1	0	0
AL009126.12	0	0	0	0
AL009126.13	0	0	0	0
AL009126.14	0	0	0	0
AL009126.2	0	0	0	0
AL009126.3	0	0	0	0
AL009126.4	0	0	0	0
AL009126.5	0	0	0	0
AL009126.6	16	9	8	1
AL009126.7	0	0	0	1
AL009126.8	0	0	0	0
AL009126.9	0	0	0	0
AL123456.1	0	0	0	0
AL123456.10	2	2	2	2
AL123456.11	0	0	0	0
AL123456.12	0	0	0	0
AL123456.13	1	1	0	0
AL123456.14	0	0	0	0
AL123456.15	0	0	0	0
AL123456.16	7	6	5	3
AL123456.17	0	0	0	0
AL123456.18	1	1	0	0
AL123456.19	1	1	1	1
AL123456.2	1	0	0	0
AL123456.3	0	0	0	0
AL123456.4	0	0	0	0
AL123456.5	1	1	1	1
AL123456.6	0	0	0	0
AL123456.7	1	3	1	1
AL123456.8	3	2	2	2
AL123456.9	0	0	0	0
AL954747.1	0	0	0	0
AL954747.2	1	1	1	1
AL954747.3	0	0	0	0
AL954747.4	0	0	0	0
AL954747.5	0	0	0	0
ALOC01000723.1	1	1	1	0
ALYG01000018.1	0	0	0	0
ALYG01000023.1	1	0	0	0
ALYG01000023.2	2	1	1	1
ALYH01000041.1	2	1	1	1
ALYH01000055.1	0	0	0	0
ALYH01000084.1	1	0	0	0
ALYH01000088.1	5	6	4	3
AM039952.1	0	0	0	0
AM039952.2	0	0	0	0
AM039952.3	0	0	0	0
AM039952.4	0	0	0	0
AM039952.5	0	0	0	0
AM039952.6	0	0	0	0
AM039952.7	0	0	0	0
AM039952.8	0	1	0	0
AM039952.9	0	0	0	0
AM055942.1	0	0	0	0
AM055942.2	4	4	4	4
AM181176.1	0	0	0	0
AM181176.10	0	1	0	0
AM181176.11	0	0	0	0
AM181176.12	0	0	0	0
AM181176.13	0	0	0	0
AM181176.14	0	0	0	0
AM181176.2	0	0	0	0
AM181176.3	0	0	0	0
AM181176.4	0	0	0	0
AM181176.5	0	0	0	0
AM181176.6	0	0	0	0
AM181176.7	0	0	0	0
AM181176.8	1	1	0	0
AM181176.9	0	2	0	1
AM238664.1	0	0	0	0
AM238664.10	0	0	0	1
AM238664.2	2	3	1	2
AM238664.3	0	0	0	0
AM238664.4	25	25	6	5
AM238664.5	0	0	0	0
AM238664.6	0	0	0	0
AM238664.7	0	0	0	0
AM238664.8	0	0	0	0
AM238664.9	0	0	0	0
AM260480.1	0	0	0	0
AM260480.2	1	1	0	1
AM260480.3	0	0	0	0
AM260480.4	0	0	0	0
AM286690.1	0	0	0	0
AM286690.2	0	0	0	0
AM286690.3	0	0	0	0
AM286690.4	0	0	0	0
AM286690.5	0	2	0	0
AM286690.6	0	0	0	0
AM407731.1	15	15	5	2
AM409327.1	1	1	1	1
AM411073.1	16	11	7	0
AM420293.1	3	1	1	0
AM420293.10	1	2	1	1
AM420293.11	5	3	3	1
AM420293.12	0	0	0	0
AM420293.13	2	2	1	1
AM420293.14	0	0	0	0
AM420293.15	0	0	0	0
AM420293.16	0	0	0	0
AM420293.17	0	0	0	0
AM420293.18	0	0	0	0
AM420293.19	0	0	0	0
AM420293.2	0	0	0	0
AM420293.20	0	0	0	0
AM420293.21	0	0	0	0
AM420293.22	0	0	0	0
AM420293.23	0	0	0	0
AM420293.24	0	0	0	0
AM420293.25	10	9	5	2
AM420293.26	1	2	0	0
AM420293.27	0	0	0	0
AM420293.28	0	0	0	0
AM420293.29	0	0	0	0
AM420293.3	0	0	0	0
AM420293.30	0	0	0	0
AM420293.31	0	0	0	0
AM420293.32	0	0	0	0
AM420293.33	0	0	0	0
AM420293.34	1	2	1	0
AM420293.35	2	1	0	0
AM420293.36	0	0	0	0
AM420293.37	0	0	0	0
AM420293.38	0	0	0	0
AM420293.4	6	7	1	1
AM420293.5	0	0	0	0
AM420293.6	0	0	0	1
AM420293.7	0	0	0	0
AM420293.8	0	0	0	0
AM420293.9	2	2	0	0
AM493724.1	1	0	0	0
AM711867.1	0	0	0	0
AM711867.10	0	0	0	0
AM711867.2	0	0	0	0
AM711867.3	0	0	0	0
AM711867.4	0	0	0	0
AM711867.5	0	0	0	0
AM711867.6	0	0	0	0
AM711867.7	0	0	0	0
AM711867.8	0	0	0	0
AM711867.9	0	0	0	0
AM743169.1	0	0	0	0
AM743169.2	0	0	0	0
AM743169.3	0	0	0	0
AM743169.4	0	0	0	0
AM743169.5	0	0	0	0
AM743169.6	0	1	0	0
AM743169.7	0	0	0	0
AM746676.1	0	0	0	0
